underlying,name,lot_size,expiries,inst_types,sample_symbol,fy_token
BAJAJFINSV,BAJAJFINSV 2560 CE,300,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BAJAJFINSV26NOV2720PE,101126112375683
BAJAJHLDNG,BAJAJHLDNG 13800 CE,75,2026-09-29|2026-10-27,OPT,NSE:BAJAJHLDNG26OCT15800PE,101126102776109
BAJFINANCE,BAJFINANCE 810 CE,750,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BAJFINANCE26NOV1560PE,101126112376659
BANDHANBNK,BANDHANBNK 235 CE,3600,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BANDHANBNK26NOV300PE,101126112376866
BANKBARODA,BANKBARODA 335 CE,2925,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BANKBARODA26NOV360PE,101126112376993
BANKINDIA,BANKINDIA 80 CE,5200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BANKINDIA26NOV200PE,101126112377425
BDL,BDL 980 CE,425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BDL26NOV1840PE,101126112377976
BEL,BEL 535 CE,1425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BEL26NOV580PE,101126112378550
BHARATFORG,BHARATFORG 1040 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BHARATFORG26NOV2960PE,101126112378987
BHARTIARTL,BHARTIARTL 1040 CE,475,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BHARTIARTL26NOV2640PE,101126112379330
BHEL,BHEL 545 CE,2625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BHEL26NOV600PE,101126112379815
BIOCON,BIOCON 305 CE,2500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BIOCON26NOV600PE,101126112380211
BLUESTARCO,BLUESTARCO 1980 CE,325,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BLUESTARCO26NOV2240PE,101126112380613
BOSCHLTD,BOSCHLTD 53000 CE,25,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BOSCHLTD26NOV66000PE,101126112381000
BPCL,BPCL 440 CE,1975,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BPCL26NOV440PE,101126112381532
BRITANNIA,BRITANNIA 6700 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BRITANNIA26NOV7800PE,101126112382319
BSE,BSE 1400 CE,200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:BSE26NOV5600PE,101126112382522
CAMS,CAMS 550 CE,825,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CAMS26NOV1120PE,101126112382888
CANBK,CANBK 65 CE,6750,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CANBK26NOV190PE,101126112383093
CDSL,CDSL 1840 CE,475,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CDSL26NOV1840PE,101126112383341
CGPOWER,CGPOWER 1140 CE,850,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CGPOWER26NOV1360PE,101126112383637
CHOLAFIN,CHOLAFIN 2260 CE,625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CHOLAFIN26NOV2560PE,101126112383812
CIPLA,CIPLA 800 CE,425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CIPLA26NOV2000PE,101126112384359
COALINDIA,COALINDIA 310 CE,1350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:COALINDIA26NOV580PE,101126112384798
COCHINSHIP,COCHINSHIP 2160 CE,400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:COCHINSHIP26NOV2240PE,101126112385071
COFORGE,COFORGE 2140 CE,475,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:COFORGE26NOV2640PE,101126112385455
COLPAL,COLPAL 1260 CE,275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:COLPAL26NOV2800PE,101126112385870
CONCOR,CONCOR 280 CE,1250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CONCOR26NOV700PE,101126112386298
CROMPTON,CROMPTON 165 CE,2150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CROMPTON26NOV360PE,101126112386535
CUMMINSIND,CUMMINSIND 3300 CE,200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:CUMMINSIND26NOV7600PE,101126112386765
DABUR,DABUR 210 CE,1250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DABUR26NOV580PE,101126112387223
DELHIVERY,DELHIVERY 660 PE,2075,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DELHIVERY26NOV620PE,101126112387607
DIVISLAB,DIVISLAB 6000 CE,100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DIVISLAB26NOV11200PE,101126112388118
DIXON,DIXON 8500 CE,50,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DIXON26NOV21000PE,101126112388434
DLF,DLF 400 CE,950,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DLF26NOV920PE,101126112388700
DMART,DMART 2600 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DMART26NOV5600PE,101126112389240
DRREDDY,DRREDDY 760 CE,625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:DRREDDY26NOV1800PE,101126112389708
EICHERMOT,EICHERMOT 4400 CE,100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:EICHERMOT26NOV11600PE,101126112390188
ETERNAL,ETERNAL 210 CE,2425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ETERNAL26NOV440PE,101126112390570
FEDERALBNK,FEDERALBNK 220 CE,2500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:FEDERALBNK26NOV460PE,101126112391051
FORCEMOT,FORCEMOT 10000 CE,25,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:FORCEMOT26NOV26000PE,101126112391140
FORTIS,FORTIS 560 CE,775,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:FORTIS26NOV1400PE,101126112391675
GAIL,GAIL 100 CE,3550,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GAIL26NOV260PE,101126112392075
GLENMARK,GLENMARK 1520 CE,375,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GLENMARK26NOV3360PE,101126112392793
GMRAIRPORT,GMRAIRPORT 64 CE,6975,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GMRAIRPORT26NOV148PE,101126112393286
GODFRYPHLP,GODFRYPHLP 1300 CE,275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GODFRYPHLP26NOV3400PE,101126112393428
GODREJCP,GODREJCP 600 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GODREJCP26NOV1400PE,101126112394101
GODREJPROP,GODREJPROP 1360 CE,325,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GODREJPROP26NOV2720PE,101126112394691
GRASIM,GRASIM 1840 CE,250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GRASIM26NOV4720PE,101126112395236
GVT&D,GVT&D 2400 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:GVT&D26NOV6400PE,101126112395590
HAL,HAL 3200 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HAL26NOV6600PE,101126112395839
HAVELLS,HAVELLS 800 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HAVELLS26NOV1760PE,101126112396190
HCLTECH,HCLTECH 860 CE,400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HCLTECH26NOV1760PE,101126112396949
HDFCAMC,HDFCAMC 1600 CE,300,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HDFCAMC26NOV3800PE,101126112397283
HDFCBANK,HDFCBANK 440 CE,650,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HDFCBANK26NOV1080PE,101126112397614
HDFCLIFE,HDFCLIFE 340 CE,1100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HDFCLIFE26NOV780PE,101126112398285
HEROMOTOCO,HEROMOTOCO 3200 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HEROMOTOCO26NOV8000PE,101126112398509
HINDALCO,HINDALCO 560 CE,700,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HINDALCO26NOV1520PE,101126112398817
HINDPETRO,HINDPETRO 300.75 CE,2025,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HINDPETRO26NOV600PE,101126112399075
HINDUNILVR,HINDUNILVR 1200 CE,300,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HINDUNILVR26NOV2960PE,101126112399980
HINDZINC,HINDZINC 380 CE,1225,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HINDZINC26NOV320PE,101126112346347
HYUNDAI,HYUNDAI 1280 CE,275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:HYUNDAI26NOV1560PE,101126112341462
ICICIBANK,ICICIBANK 840 CE,700,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ICICIBANK26NOV760PE,101126112346355
ICICIGI,ICICIGI 1040 CE,325,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ICICIGI26NOV1000PE,101126112343915
ICICIPRULI,ICICIPRULI 320 CE,925,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ICICIPRULI26NOV220PE,101126112345234
IDEA,IDEA 24 CE,71475,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:IDEA26NOV34PE,1011261123102133
IDFCFIRSTB,IDFCFIRSTB 52 CE,9275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:IDFCFIRSTB26NOV124PE,101126112342999
IEX,IEX 80 CE,4350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:IEX26NOV50PE,101126112346371
INDHOTEL,INDHOTEL 440 CE,1000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INDHOTEL26NOV540PE,101126112335737
INDIANB,INDIANB 520 CE,1000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INDIANB26NOV480PE,101126112345248
INDIGO,INDIGO 2800 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INDIGO26NOV2400PE,101126112343001
INDUSINDBK,INDUSINDBK 600 CE,700,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INDUSINDBK26NOV600PE,101126112342206
INDUSTOWER,INDUSTOWER 326 PE,1700,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INDUSTOWER26NOV250PE,101126112343011
INFY,INFY 680 CE,400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INFY26NOV680PE,101126112342836
INOXWIND,INOXWIND 45 CE,6400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:INOXWIND26NOV25PE,101126112336871
IOC,IOC 80 CE,4875,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:IOC26NOV70PE,101126112345250
IREDA,IREDA 70 CE,4525,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:IREDA26NOV65PE,101126112345258
IRFC,IRFC 48 CE,5425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:IRFC26NOV32PE,101126112342850
ITC,ITC 170 CE,1725,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ITC26NOV165PE,101126112339679
JINDALSTEL,JINDALSTEL 720 CE,625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:JINDALSTEL26NOV760PE,101126112345276
JIOFIN,JIOFIN 150 CE,2350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:JIOFIN26NOV110PE,101126112343994
JSWENERGY,JSWENERGY 360 CE,1075,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:JSWENERGY26NOV340PE,101126112339715
JSWSTEEL,JSWSTEEL 800 CE,675,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:JSWSTEEL26NOV920PE,101126112345288
JUBLFOOD,JUBLFOOD 320 CE,1250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:JUBLFOOD26NOV350PE,101126112345772
KALYANKJIL,KALYANKJIL 920 CE,1350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:KALYANKJIL26NOV320PE,101126112341521
KAYNES,KAYNES 4850 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:KAYNES26NOV2200PE,101126112343030
KEI,KEI 3200 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:KEI26NOV2000PE,101126112346389
KFINTECH,KFINTECH 600 CE,575,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:KFINTECH26NOV520PE,101126112345778
KOTAKBANK,KOTAKBANK 240 CE,2000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:KOTAKBANK26NOV290PE,101126112342885
KPITTECH,KPITTECH 320 CE,775,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:KPITTECH26NOV200PE,101126112343428
LAURUSLABS,LAURUSLABS 2480 CE,850,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LAURUSLABS26NOV2720PE,101126112346395
LICHSGFIN,LICHSGFIN 320 CE,1000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LICHSGFIN26NOV740PE,101126112343043
LICI,LICI 260 CE,1400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LICI26NOV220PE,101126112342218
LODHA,LODHA 960 CE,625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LODHA26NOV760PE,101126112346422
LT,LT 2400 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LT26NOV2700PE,101126112345312
LTF,LTF 200 CE,2250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LTF26NOV180PE,101126112341565
LTM,LTM 2700 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LTM26NOV3100PE,101126112346437
LUPIN,LUPIN 1440 CE,425,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:LUPIN26NOV1120PE,101126112343458
M&M,M&M 2000 CE,200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:M&M26NOV2300PE,101126112342232
MAHABANK,MAHABANK 50 CE,6500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MAHABANK26NOV124PE,101126112343055
MANAPPURAM,MANAPPURAM 220 CE,3000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MANAPPURAM26NOV200PE,101126112344043
MANKIND,MANKIND 1600 CE,250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MANKIND26NOV1560PE,101126112342935
MARICO,MARICO 520 CE,1200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MARICO26NOV440PE,101126112343474
MARUTI,MARUTI 8400 CE,50,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MARUTI26NOV6400PE,101126112345816
MAXHEALTH,MAXHEALTH 640 CE,525,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MAXHEALTH26NOV1520PE,101126112339866
MAZDOCK,MAZDOCK 1400 CE,225,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MAZDOCK26NOV1500PE,101126112342945
MCX,MCX 2200 CE,225,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MCX26NOV2300PE,101126112343069
MFSL,MFSL 880 CE,400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MFSL26NOV1000PE,101126112345327
MIDCPNIFTY,MIDCPNIFTY 16725 CE,120,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MIDCPNIFTY26NOV19500PE,101126112364065
MOTHERSON,MOTHERSON 105 CE,6150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MOTHERSON26NOV115PE,101126112343075
MOTILALOFS,MOTILALOFS 560 CE,775,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MOTILALOFS26NOV1400PE,101126112336093
MPHASIS,MPHASIS 2338 CE,275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MPHASIS26NOV1000PE,101126112345818
MUTHOOTFIN,MUTHOOTFIN 1800 CE,275,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:MUTHOOTFIN26NOV1900PE,101126112345464
NAM-INDIA,NAM-INDIA 800 CE,625,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NAM-INDIA26NOV640PE,101126112343502
NATIONALUM,NATIONALUM 220 CE,1875,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NATIONALUM26NOV180PE,101126112344067
NAUKRI,NAUKRI 840 CE,550,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NAUKRI26NOV920PE,101126112345335
NBCC,NBCC 50 CE,6500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NBCC26NOV20PE,101126112345478
NESTLEIND,NESTLEIND 920 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NESTLEIND26NOV1020PE,101126112345826
NHPC,NHPC 44 CE,6950,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NHPC26NOV50PE,101126112338117
NIFTYFPI,NIFTYFPI 840 CE,1100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NIFTYFPI26NOV2300PE,101126112365105
NIFTYNXT50,NIFTYNXT50 83700 CE,25,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NIFTYNXT5026NOV104500PE,101126112366306
NMDC,NMDC 48 CE,6750,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NMDC26NOV58PE,101126112346488
NTPC,NTPC 200 CE,1500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NTPC26NOV140PE,101126112339966
NYKAA,NYKAA 220 CE,3125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:NYKAA26NOV430PE,101126112336175
OBEROIRLTY,OBEROIRLTY 1200 CE,350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:OBEROIRLTY26NOV1040PE,101126112345832
OFSS,OFSS 7600 CE,100,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:OFSS26NOV8600PE,101126112345522
OIL,OIL 300 CE,1400,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:OIL26NOV680PE,101126112341685
ONGC,ONGC 140 CE,2250,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:ONGC26NOV315PE,101126112342302
PAGEIND,PAGEIND 26000 CE,20,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PAGEIND26NOV23000PE,101126112336223
PATANJALI,PATANJALI 190 CE,1075,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PATANJALI26NOV160PE,101126112336225
PAYTM,PAYTM 1220 CE,725,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PAYTM26NOV2320PE,101126112346528
PERSISTENT,PERSISTENT 4100 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PERSISTENT26NOV8400PE,101126112338285
PETRONET,PETRONET 170 CE,1900,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PETRONET26NOV390PE,101126112340034
PFC,PFC 250 CE,1300,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PFC26NOV160PE,101126112340052
PGEL,PGEL 470 CE,950,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PGEL26NOV380PE,101126112341717
PHOENIXLTD,PHOENIXLTD 1200 CE,350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PHOENIXLTD26NOV2720PE,101126112343165
PIDILITIND,PIDILITIND 920 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PIDILITIND26NOV1080PE,101126112344105
PIIND,PIIND 1850 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PIIND26NOV1000PE,101126112346541
PNB,PNB 85 CE,8000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PNB26NOV164PE,1011261123124055
PNBHOUSING,PNBHOUSING 900 CE,650,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PNBHOUSING26NOV640PE,101126112340094
POLICYBZR,POLICYBZR 1380 CE,350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:POLICYBZR26NOV1040PE,101126112344109
POLYCAB,POLYCAB 5000 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:POLYCAB26NOV5400PE,101126112343548
POWERGRID,POWERGRID 150 CE,1900,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:POWERGRID26NOV140PE,101126112337254
POWERINDIA,POWERINDIA 19000 CE,25,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:POWERINDIA26NOV23000PE,101126112342335
PREMIERENE,PREMIERENE 600 CE,650,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PREMIERENE26NOV600PE,101126112345567
PRESTIGE,PRESTIGE 1000 CE,450,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:PRESTIGE26NOV1000PE,101126112346561
RADICO,RADICO 3550 CE,150,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:RADICO26NOV3300PE,101126112340208
RBLBANK,RBLBANK 210 CE,3175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:RBLBANK26NOV600PE,101126112343558
RECLTD,RECLTD 275 CE,1575,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:RECLTD26NOV190PE,101126112341760
RELIANCE,RELIANCE 700 CE,500,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:RELIANCE26NOV900PE,101126112346571
RVNL,RVNL 110 CE,1925,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:RVNL26NOV110PE,101126112346581
SAGILITY,SAGILITY 26 CE,12000,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SAGILITY26NOV66PE,101126112340239
SAIL,SAIL 142.5 CE,4700,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SAIL26NOV90PE,101126112345852
SBICARD,SBICARD 380 CE,800,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SBICARD26NOV860PE,101126112344183
SBILIFE,SBILIFE 1080 CE,375,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SBILIFE26NOV960PE,101126112342349
SBIN,SBIN 580 CE,750,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SBIN26NOV700PE,101126112344205
SHREECEM,SHREECEM 16500 CE,25,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SHREECEM26NOV15500PE,101126112340276
SHRIRAMFIN,SHRIRAMFIN 820 CE,825,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SHRIRAMFIN26NOV680PE,101126112341802
SIEMENS,SIEMENS 3050 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SIEMENS26NOV2700PE,101126112344211
SOLARINDS,SOLARINDS 12500 CE,50,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SOLARINDS26NOV26500PE,101126112344241
SONACOMS,SONACOMS 630 CE,1225,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SONACOMS26NOV1040PE,1011261123128109
SRF,SRF 1500 CE,200,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SRF26NOV1200PE,101126112346601
SUNPHARMA,SUNPHARMA 1160 CE,350,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SUNPHARMA26NOV1240PE,101126112346621
SUPREMEIND,SUPREMEIND 2550 CE,175,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SUPREMEIND26NOV1600PE,101126112343578
SUZLON,SUZLON 24 CE,12700,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SUZLON26NOV26PE,101126112345862
SWIGGY,SWIGGY 215 CE,1825,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:SWIGGY26NOV140PE,101126112342407
TATACONSUM,TATACONSUM 620 CE,550,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TATACONSUM26NOV660PE,101126112342419
TATAELXSI,TATAELXSI 1900 CE,125,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TATAELXSI26NOV2300PE,101126112344251
TATAPOWER,TATAPOWER 210 CE,1450,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TATAPOWER26NOV560PE,101126112345609
TATASTEEL,TATASTEEL 105 CE,2750,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TATASTEEL26NOV90PE,101126112340353
TCS,TCS 1780 CE,225,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TCS26NOV3360PE,101126112340380
TECHM,TECHM 1220 CE,600,2026-09-29|2026-10-27|2026-11-23,OPT,NSE:TECHM26NOV800PE,101126112345420
